               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017758,           0.0047356,          9.3016e-05,             0.99933,                   1,               0.995,             0.83124,            0.016314,           0.0038166,          4.9666e-05,            0.006535,            0.006535,            0.006535
                  37,            0.017666,           0.0046921,          9.2785e-05,             0.99908,              0.9999,               0.995,             0.83219,            0.016303,           0.0038221,          4.9816e-05,            0.006436,            0.006436,            0.006436
                  38,            0.017573,           0.0046588,          0.00011346,             0.99918,                   1,               0.995,             0.83045,            0.016309,           0.0038184,          4.6831e-05,            0.006337,            0.006337,            0.006337
                  39,            0.017699,           0.0047725,          0.00017016,             0.99914,                   1,             0.99499,             0.83099,            0.016338,           0.0038211,          4.6859e-05,            0.006238,            0.006238,            0.006238
                  40,            0.017756,           0.0047143,          0.00014347,              0.9989,                   1,             0.99485,             0.83165,            0.016354,           0.0038151,          4.4247e-05,            0.006139,            0.006139,            0.006139
                  41,              0.0177,             0.00473,          9.9298e-05,             0.99847,                   1,             0.99499,             0.83622,            0.016352,           0.0038081,          4.5039e-05,             0.00604,             0.00604,             0.00604
                  42,            0.017633,           0.0046869,          9.4893e-05,             0.99701,                   1,             0.99499,             0.83659,              0.0163,           0.0038043,          4.5391e-05,            0.005941,            0.005941,            0.005941
                  43,            0.017464,           0.0046524,          9.0043e-05,             0.99837,                   1,             0.99498,              0.8328,            0.016286,           0.0038039,          4.5001e-05,            0.005842,            0.005842,            0.005842
                  44,             0.01759,           0.0046963,          0.00012494,             0.99692,                   1,             0.99497,             0.83141,            0.016269,           0.0038041,          4.3325e-05,            0.005743,            0.005743,            0.005743
                  45,            0.017526,           0.0047002,          0.00011756,             0.99698,                   1,             0.99491,             0.83319,            0.016275,           0.0038032,          4.2118e-05,            0.005644,            0.005644,            0.005644
                  46,            0.017552,           0.0046907,          9.8525e-05,             0.99813,                   1,             0.99499,             0.83133,            0.016276,           0.0038002,          4.1168e-05,            0.005545,            0.005545,            0.005545
                  47,            0.017432,           0.0046535,          0.00011832,             0.99866,                   1,               0.995,             0.83128,            0.016274,           0.0037987,          4.1947e-05,            0.005446,            0.005446,            0.005446
                  48,            0.017313,           0.0046438,          0.00013278,             0.99867,                   1,               0.995,              0.8321,            0.016287,           0.0037993,          4.0712e-05,            0.005347,            0.005347,            0.005347
                  49,            0.017332,           0.0046484,          9.9642e-05,             0.99852,                   1,               0.995,             0.83366,            0.016287,           0.0038001,          4.0105e-05,            0.005248,            0.005248,            0.005248
                  50,            0.017361,           0.0046405,          9.2224e-05,             0.99837,                   1,               0.995,             0.83273,            0.016288,              0.0038,          4.0164e-05,            0.005149,            0.005149,            0.005149
                  51,            0.017248,           0.0046913,          0.00013251,              0.9983,                   1,               0.995,             0.83172,            0.016273,           0.0037998,          3.9182e-05,             0.00505,             0.00505,             0.00505
                  52,            0.017303,           0.0046539,          0.00012314,             0.99846,                   1,               0.995,             0.83366,            0.016286,           0.0038013,          3.9034e-05,            0.004951,            0.004951,            0.004951
                  53,            0.017178,           0.0046288,          8.2889e-05,             0.99861,                   1,               0.995,             0.83452,            0.016293,           0.0038026,          3.8554e-05,            0.004852,            0.004852,            0.004852
                  54,            0.017149,            0.004591,          7.9636e-05,             0.99868,                   1,               0.995,             0.83378,            0.016304,            0.003804,          3.8124e-05,            0.004753,            0.004753,            0.004753
                  55,            0.017111,           0.0046375,          8.6897e-05,             0.99862,                   1,               0.995,             0.83223,            0.016311,           0.0038058,          3.7734e-05,            0.004654,            0.004654,            0.004654
                  56,            0.016957,           0.0046422,          9.8392e-05,             0.99864,                   1,               0.995,             0.83341,             0.01632,           0.0038071,          3.7078e-05,            0.004555,            0.004555,            0.004555
                  57,            0.017022,           0.0046106,          0.00013159,             0.99868,                   1,               0.995,             0.83283,            0.016325,           0.0038068,          3.6536e-05,            0.004456,            0.004456,            0.004456
                  58,            0.016993,           0.0046127,          7.7308e-05,             0.99867,                   1,               0.995,             0.83346,            0.016332,           0.0038087,          3.6107e-05,            0.004357,            0.004357,            0.004357
                  59,            0.016952,           0.0046406,          9.6286e-05,             0.99866,                   1,               0.995,              0.8332,            0.016336,           0.0038089,          3.5652e-05,            0.004258,            0.004258,            0.004258
                  60,            0.016897,           0.0045494,           7.437e-05,             0.99867,                   1,               0.995,             0.83347,            0.016333,            0.003809,          3.5242e-05,            0.004159,            0.004159,            0.004159
                  61,             0.01683,           0.0045755,          6.7495e-05,              0.9987,             0.99996,               0.995,             0.83396,             0.01633,           0.0038095,          3.4725e-05,             0.00406,             0.00406,             0.00406
                  62,            0.016709,           0.0045266,          6.8033e-05,             0.99871,             0.99996,               0.995,             0.83423,            0.016329,           0.0038094,          3.4324e-05,            0.003961,            0.003961,            0.003961
                  63,            0.016735,           0.0045594,          8.6217e-05,             0.99874,             0.99994,               0.995,             0.83509,            0.016337,           0.0038105,          3.4013e-05,            0.003862,            0.003862,            0.003862
                  64,            0.016785,            0.004566,          8.7212e-05,              0.9988,             0.99996,               0.995,             0.83451,            0.016338,           0.0038101,          3.3586e-05,            0.003763,            0.003763,            0.003763
                  65,            0.016643,           0.0045435,          6.6197e-05,             0.99882,             0.99997,               0.995,             0.83466,            0.016344,           0.0038101,          3.3148e-05,            0.003664,            0.003664,            0.003664
                  66,            0.016591,           0.0045201,          9.3918e-05,             0.99887,             0.99997,               0.995,             0.83433,            0.016348,           0.0038097,          3.2867e-05,            0.003565,            0.003565,            0.003565
                  67,              0.0166,           0.0044906,          8.7741e-05,             0.99892,             0.99998,               0.995,             0.83455,            0.016351,           0.0038088,          3.2496e-05,            0.003466,            0.003466,            0.003466
                  68,            0.016498,           0.0045406,          6.1476e-05,             0.99899,             0.99997,               0.995,             0.83415,            0.016353,           0.0038081,          3.2057e-05,            0.003367,            0.003367,            0.003367
                  69,            0.016371,           0.0045271,          7.3356e-05,             0.99902,             0.99998,               0.995,              0.8343,            0.016353,           0.0038078,          3.1707e-05,            0.003268,            0.003268,            0.003268
                  70,            0.016332,           0.0044977,          7.8324e-05,             0.99906,                   1,               0.995,             0.83414,            0.016353,           0.0038075,          3.1316e-05,            0.003169,            0.003169,            0.003169
                  71,            0.016428,            0.004529,          6.9921e-05,             0.99908,                   1,               0.995,             0.83455,            0.016358,           0.0038079,           3.095e-05,             0.00307,             0.00307,             0.00307
                  72,            0.016311,           0.0044775,          6.7596e-05,              0.9991,                   1,               0.995,             0.83493,            0.016358,           0.0038072,          3.0677e-05,            0.002971,            0.002971,            0.002971
